Fri Jul 11 23:21:54 2025   Laptop7   C:\>ipconfig /clear
Sun Jul 13 19:21:06 2025   Main - R1   R1(config-if)#acess-list 1 permit 192.168.0.0 0.0.255.255
Sun Jul 13 19:21:31 2025   Main - R1   R1(config-if)#access-list 1 permit 192.168.0.0 0.0.255.255
Sun Jul 13 19:21:53 2025   Main - R1   R1(config)#interface g0/0/1
Sun Jul 13 19:22:08 2025   Main - R1   R1(config-if)#interface g0/0/0
Sun Jul 13 19:22:34 2025   Main - R1   R1(config-if)#ip nat outside
Sun Jul 13 19:22:42 2025   Main - R1   R1(config-if)#interface g0/1/0
Sun Jul 13 19:22:47 2025   Main - R1   R1(config-if)#ip nat inside
Sun Jul 13 19:23:07 2025   Main - R1   R1(config-if)#do sh run
Sun Jul 13 19:24:14 2025   Main - R1   R1(config-if)#interface g0/0/1
Sun Jul 13 19:24:26 2025   Main - R1   R1(config-if)#ip nat inside
Sun Jul 13 19:24:41 2025   Main - R1   R1(config-if)#end
Sun Jul 13 19:24:42 2025   Main - R1   R1#wr
Sun Jul 13 19:25:01 2025   SW1   SW1>en
Sun Jul 13 19:25:28 2025   SW1   SW1#copy?
Sun Jul 13 19:25:30 2025   SW1   SW1#copy ?
Sun Jul 13 19:25:46 2025   SW1   SW1#copy running-config ?
Sun Jul 13 19:25:59 2025   SW1   SW1#copy running-config startup-config 
Sun Jul 13 19:33:39 2025   SW1   SW1#config t
Sun Jul 13 19:34:09 2025   SW1   SW1(config)#int fa0/2
Sun Jul 13 19:35:12 2025   SW1   SW1(config-if)#description Connected to Admin
Sun Jul 13 19:35:18 2025   SW1   SW1(config-if)#do sh run
Sun Jul 13 19:35:36 2025   SW1   SW1(config-if)#do sh valn
Sun Jul 13 19:35:41 2025   SW1   SW1(config-if)#do sh vlan
Sun Jul 13 19:36:30 2025   SW1   SW1(config-if)#int fa0/3
Sun Jul 13 19:37:17 2025   SW1   SW1(config-if)#description Connected to Admin
Sun Jul 13 19:37:24 2025   SW1   SW1(config-if)#int fa0/4
Sun Jul 13 19:37:54 2025   SW1   SW1(config-if)#description Connected to Internal AP
Sun Jul 13 19:37:59 2025   SW1   SW1(config-if)#int fa0/5
Sun Jul 13 19:38:16 2025   SW1   SW1(config-if)#description Connected to External (Guest) AP
Sun Jul 13 19:38:18 2025   SW1   SW1(config-if)#wr
Sun Jul 13 19:38:20 2025   SW1   SW1(config-if)#do wr
Sun Jul 13 19:38:45 2025   SW1   SW1(config-if)#int G0/1
Sun Jul 13 19:39:22 2025   SW1   SW1(config-if)#desc Connected to Main Router (R1)
Sun Jul 13 19:39:42 2025   SW1   SW1(config-if)#interface g0/2
Sun Jul 13 19:40:09 2025   SW1   SW1(config-if)#switchport access vlan 99
Sun Jul 13 19:40:23 2025   SW1   SW1(config-if)#do sh vlan br
Sun Jul 13 19:41:56 2025   SW1   SW1(config-if)#shutdown
Wed Jul 16 15:36:03 2025   SW1   SW1>en
Wed Jul 16 15:38:55 2025   SW1   SW1#sh ip interface br
Wed Jul 16 15:39:33 2025   SW1   SW1#sh vlan b
Sat Jul 19 01:15:52 2025   SW1   SW1>en
Sat Jul 19 01:16:01 2025   SW1   SW1#sh run
Sat Jul 19 01:32:22 2025   SW1   SW1>en
Sat Jul 19 01:32:34 2025   SW1   SW1#sh run
Sat Jul 19 01:38:35 2025   Main - R1   R1>en
Sat Jul 19 01:38:37 2025   Main - R1   R1#sh run
Sat Jul 19 01:40:11 2025   Main - R1   R1#conf t
Sat Jul 19 01:42:45 2025   Main - R1   R1(config)#ip dhcp excluded-address 192.168.180.1 192.168.180.10
Sat Jul 19 01:43:08 2025   Main - R1   R1(config)#ip dhcp pool VLAN180
Sat Jul 19 01:43:38 2025   Main - R1   R1(dhcp-config)#network 192.168.180.0 255.255.255.0
Sat Jul 19 01:44:17 2025   Main - R1   R1(dhcp-config)#default-router 192.168.180.254 
Sat Jul 19 01:44:28 2025   Main - R1   R1(dhcp-config)#dns-server 1.1.1.1 
Sat Jul 19 01:44:31 2025   Main - R1   R1(dhcp-config)#exit
Sat Jul 19 01:45:21 2025   SW1   SW1#conf t
Sat Jul 19 01:46:16 2025   SW1   SW1(config)#int range fa0/4 - 5
Sat Jul 19 01:46:40 2025   SW1   SW1(config-if-range)#no switchport trunk native vlan 99
Sat Jul 19 01:46:45 2025   SW1   SW1(config-if-range)#do sh run
Sat Jul 19 01:47:57 2025   SW1   SW1(config-if-range)#switchport mode access
Sat Jul 19 01:48:06 2025   SW1   SW1(config-if-range)#switchport port-security
Sat Jul 19 01:48:24 2025   SW1   SW1(config-if-range)#switchport port-security mac-address sticky
Sat Jul 19 01:48:49 2025   SW1   SW1(config-if-range)#switchport port-security violation restrict 
Sat Jul 19 01:49:22 2025   SW1   SW1(config-if-range)#exit
Sat Jul 19 01:49:27 2025   SW1   SW1(config)#ex
Sat Jul 19 01:49:35 2025   SW1   SW1#sh ip interface br
Sat Jul 19 01:49:52 2025   SW1   SW1#conf t
Sat Jul 19 01:49:56 2025   SW1   SW1(config)#int fa0/5
Sat Jul 19 01:49:59 2025   SW1   SW1(config-if)#no shutdown
Sat Jul 19 01:50:05 2025   SW1   SW1(config-if)#no shutdown
Sat Jul 19 01:50:18 2025   SW1   SW1(config-if)#do sh int fa0/5
Sat Jul 19 01:51:10 2025   SW1   SW1(config-if)#switchport port-security ?
Sat Jul 19 01:51:24 2025   SW1   SW1(config-if)#switchport port-security maximum 10
Sat Jul 19 01:51:34 2025   SW1   SW1(config-if)#do sh ip int fa0/5
Sat Jul 19 01:51:40 2025   SW1   SW1(config-if)#do shint fa0/5
Sat Jul 19 01:51:44 2025   SW1   SW1(config-if)#do sh int fa0/5
Sat Jul 19 01:54:32 2025   SW1   SW1(config-if)#do show port-security interface fa0/5
Sat Jul 19 01:55:22 2025   SW1   SW1(config-if)#shutdown
Sat Jul 19 01:55:24 2025   SW1   SW1(config-if)#no shutdown
Sat Jul 19 01:55:52 2025   SW1   SW1(config-if)#clear port-security sticky interface fa0/5
Sat Jul 19 01:56:16 2025   SW1   SW1(config-if)#ex
Sat Jul 19 01:56:28 2025   SW1   SW1(config)#clear port-security sticky inteface fa0/5
Sat Jul 19 01:56:32 2025   SW1   SW1(config)#clear?
Sat Jul 19 01:57:11 2025   SW1   SW1(config)#no port-security sticky interface fa0/5
Sat Jul 19 01:58:23 2025   SW1   SW1(config)#no switchport port-security sticky interface fa0/5
Sat Jul 19 01:58:41 2025   SW1   SW1(config)#interface fa0/
Sat Jul 19 01:58:43 2025   SW1   SW1(config)#interface fa0/5
Sat Jul 19 01:58:56 2025   SW1   SW1(config-if)#no switchport port-security sticky interface fa0/5
Sat Jul 19 01:59:08 2025   SW1   SW1(config-if)#no switchport port-security sticky 
Sat Jul 19 02:00:57 2025   SW1   SW1(config-if)#do sh port-security int fa0/5
Sat Jul 19 02:03:20 2025   SW1   SW1(config-if)#switchport port-security maximum 5
Sat Jul 19 02:03:31 2025   SW1   SW1(config-if)#switchport port-security ?
Sat Jul 19 02:03:35 2025   SW1   SW1(config-if)#switchport port-security violation ?
Sat Jul 19 02:03:43 2025   SW1   SW1(config-if)#switchport port-security violation restrict
Sat Jul 19 02:03:51 2025   SW1   SW1(config-if)#do wr
Sat Jul 19 02:04:28 2025   SW1   SW1(config-if)#int fa0/4
Sat Jul 19 02:04:45 2025   SW1   SW1(config-if)#switchport port-security violation restrict
Sat Jul 19 02:05:25 2025   SW1   SW1(config-if)#do sh port-security int fa0/5
Sat Jul 19 02:05:45 2025   SW1   SW1(config-if)#do sh port-security int fa0/4
Sat Jul 19 02:06:04 2025   SW1   SW1(config-if)#switchport port-security maximum 3
Sat Jul 19 02:06:10 2025   SW1   SW1(config-if)#do sh port-security int fa0/4
Sat Jul 19 02:06:17 2025   SW1   SW1(config-if)#do wr
Sat Jul 19 02:10:40 2025   SW1   SW1(config-if)#end
Sat Jul 19 02:10:45 2025   SW1   SW1#conf t
Sat Jul 19 02:11:47 2025   SW1   SW1(config)#int fa
Sat Jul 19 02:11:50 2025   SW1   SW1(config)#do sh run
Sat Jul 19 02:12:59 2025   SW1   SW1(config)#int range fa0/1, fa0/4 - 5
Sat Jul 19 02:14:36 2025   SW1   SW1(config-if-range)#switchport port-security ?
Sat Jul 19 02:14:39 2025   SW1   SW1(config-if-range)#switchport port-security aging ?
Sat Jul 19 02:14:43 2025   SW1   SW1(config-if-range)#switchport port-security aging time ?
Sat Jul 19 02:14:57 2025   SW1   SW1(config-if-range)#switchport port-security aging time type  ?
Sat Jul 19 02:15:06 2025   SW1   SW1(config-if-range)#switchport port-security aging time inactivtiy
Sat Jul 19 02:15:20 2025   SW1   SW1(config-if-range)#switchport port-security aging time 5
Sat Jul 19 02:16:15 2025   SW1   SW1(config-if-range)#wr
Sat Jul 19 02:16:17 2025   SW1   SW1(config-if-range)#do wr
Sat Jul 19 02:22:54 2025   SW1   SW1(config-if-range)#end
Sat Jul 19 02:22:57 2025   SW1   SW1#conf t
Sat Jul 19 02:23:23 2025   SW1   SW1(config)#snmp-server community public ?
Sat Jul 19 02:23:29 2025   SW1   SW1(config)#snmp-server community public ro
Sat Jul 19 02:24:01 2025   SW1   SW1(config)#snmp-server ?
Sat Jul 19 02:24:38 2025   SW1   SW1(config)#end
Sat Jul 19 02:26:58 2025   SW1   SW1#wr
Sat Jul 19 02:28:04 2025   Main - R1   R1>wr
Sat Jul 19 02:29:09 2025   Main - R1   R1>en
Sat Jul 19 02:29:11 2025   Main - R1   R1#wr
Sat Jul 19 02:38:06 2025   Main - R1   R1#do sh ip int
Sat Jul 19 02:38:13 2025   Main - R1   R1#sh ip int
Sat Jul 19 02:42:20 2025   Main - R1   R1#conf t
Sat Jul 19 02:42:36 2025   Main - R1   R1(config)#ip routing
Sat Jul 19 02:45:54 2025   SW1   SW1>en
Sat Jul 19 02:46:18 2025   SW1   SW1#int g0/1
Sat Jul 19 02:46:22 2025   SW1   SW1#conf t'
Sat Jul 19 02:46:26 2025   SW1   SW1#conf t
Sat Jul 19 02:46:31 2025   SW1   SW1(config)#int g0/1
Sat Jul 19 02:46:58 2025   SW1   SW1(config-if)#switchport trunk encapsulation dot1q
Sat Jul 19 02:47:06 2025   SW1   SW1(config-if)#switchport trunk ?
Sat Jul 19 02:47:21 2025   SW1   SW1(config-if)#switchport mode trunk
Sat Jul 19 02:47:46 2025   SW1   SW1(config-if)#switchport mode trunk native vlan99
Sat Jul 19 02:47:54 2025   SW1   SW1(config-if)#switchport trunk native vlan99
Sat Jul 19 02:47:58 2025   SW1   SW1(config-if)#switchport trunk native vlan 99
Sat Jul 19 02:48:56 2025   Main - R1   R1(config)#int g0/1/0
Sat Jul 19 02:49:12 2025   Main - R1   R1(config-if)#switchport trunk native vlan 99
Sat Jul 19 02:50:38 2025   Main - R1   R1(config-if)#int g0/1/0
Sat Jul 19 02:51:12 2025   Main - R1   R1(config-if)#ip address 192.168.99.254 255.255.255.0
Sat Jul 19 02:51:46 2025   Main - R1   R1(config-if)#no dot1q encapsulation
Sat Jul 19 02:52:00 2025   Main - R1   R1(config-if)#no encapsulation dot1q
Sat Jul 19 02:52:12 2025   Main - R1   R1(config-if)#do sh run
Sat Jul 19 02:55:16 2025   Main - R1   R1(config-if)#switchport mode trunk
Sat Jul 19 02:55:31 2025   Main - R1   R1(config-if)#do sh run
Sat Jul 19 02:57:18 2025   SW1   SW1(config-if)#do sh run
Sat Jul 19 02:57:42 2025   SW1   SW1(config-if)#do sh int ga0/1
Sat Jul 19 03:01:16 2025   SW1   SW1(config-if)#do wr
Sat Jul 19 03:01:56 2025   Main - R1   R1(config-if)#do wr
Sat Jul 19 03:02:24 2025   Main - R1   R1(config-if)#exit
Sat Jul 19 03:02:24 2025   Main - R1   R1(config)#router rip
Sat Jul 19 03:02:26 2025   Main - R1   R1(config-router)#end
Sat Jul 19 03:02:26 2025   Main - R1   R1#configure terminal
Sat Jul 19 03:02:29 2025   Main - R1   R1(config)#end
Sat Jul 19 03:02:29 2025   Main - R1   R1#vlan database
Sat Jul 19 03:02:32 2025   Main - R1   R1(vlan)#exit
Sat Jul 19 03:02:32 2025   Main - R1   R1#vlan database
Sat Jul 19 03:02:49 2025   Main - R1   R1(vlan)#exit
Sat Jul 19 03:02:49 2025   Main - R1   R1#configure terminal
Sat Jul 19 03:02:49 2025   Main - R1   R1(config)#interface GigabitEthernet0/0/0
Sat Jul 19 03:02:50 2025   Main - R1   R1(config-if)#exit
Sat Jul 19 03:02:50 2025   Main - R1   R1(config)#interface GigabitEthernet0/0/1
